"","GSM580027_HEK293_B1.CEL","GSM580028_HEK293_B2.CEL","GSM580039_HCT116_B1.CEL","GSM580040_HCT116_B2.CEL","GSM993504_H9ES_B1.CEL","GSM993505_H9ES_B2.CEL","GSM993507_HEK293T_B1.CEL","GSM993508_HEK293T_B2.CEL","GSM993509_HeLa-S3_B1.CEL","GSM993510_HeLa-S3_B2.CEL","GSM993511_HeLa-S3_B3.CEL","GSM993518_HepG2_B1.CEL","GSM993519_HepG2_B2.CEL","GSM993520_HepG2_B3.CEL","GSM993543_HUVEC_B1.CEL","GSM993544_HUVEC_B2.CEL","GSM993551_K562_B1.CEL","GSM993553_K562_B2.CEL","GSM993555_K562_B3.CEL"
"2315554",5.70460747232493,6.02611743964564,6.38036604182442,6.26512943548696,6.85991514236207,6.62659142608926,6.39204204729203,6.68261079166145,5.76635230299761,5.98297286568433,5.66429383646762,5.91228139449011,5.92899181964352,6.11562398679919,6.33809983259333,6.11710158033541,6.2734404804052,6.19152520449708,6.20101294203044
"2315633",6.6973925918479,6.78194554033107,6.6727498126577,6.52131247929131,6.71777607747135,6.94251578046199,6.68331550645137,7.44178809290332,6.99364793959125,7.24364001145605,7.12616121285975,6.83373746872686,6.84220044891181,6.84686742550441,7.29875200354923,7.2959722087071,7.25996043014509,7.41454578500941,7.29560328871311
"2315674",5.74694100092428,6.15058566992797,6.16038919902245,6.42523225071388,6.3509011662909,6.23965926283466,6.13056711419502,6.64829565448371,6.0120681310028,6.23965926283466,5.96956841823726,6.14108228258216,6.05352913464941,6.32699183143586,6.58244133666152,6.4988404663751,6.26888641598433,6.38021481587231,6.23965926283466
"2315739",7.53076471178017,7.71004243219631,7.84480051048947,8.15109361963835,7.07056869826112,7.61369393087475,7.82159189427504,7.82772533278901,7.76681978860574,7.84598515090192,7.5278864111505,7.50363240824542,7.42134153327561,7.84971723837884,7.58752172077295,7.5725194255292,8.21817621449062,8.23915388476222,8.40945182772435
"2315894",7.95714110729821,8.48957152250107,8.66142222268901,8.75171495220691,8.91447688442024,8.74822645604761,8.55704534961978,9.09566349399185,7.85517219168172,8.42357117298965,7.78028821381551,8.1606377826914,8.15044483561578,8.62249569758698,8.61496596912472,8.62076353362121,8.50169555915221,8.48501492161437,8.44826062027349
"2315918",4.29265699190039,5.02903970905664,4.186159868699,4.55787008814371,5.62999647782696,6.22577398298977,5.56195672980427,5.88473522837124,4.44500446736982,5.02982945545511,4.63145828862219,4.70309106439431,5.1337938376649,5.52794463101127,5.65504982681726,4.13713949147607,4.47181101140143,4.29042914742817,5.49108180348893
"2315951",7.18141347168296,7.59587133310648,8.04245216930123,8.19909417737228,7.23946868976259,6.72534756484104,7.20597629698899,7.19726136657373,8.62273291478602,8.47596992452748,8.64661053019215,8.41798344873841,8.38729623215309,8.84574911581291,8.83634494629596,8.69266895213684,9.28201550588144,9.39108311045768,9.29151640325059
"2316218",4.83879003482953,4.53452801416394,5.71850543599177,5.43467483258264,6.52293452139561,6.45897904687426,5.29250435999138,6.24037840828762,4.99288146607453,5.63017939650062,4.45503127154385,5.66854901028934,5.00079524577496,5.30156305834723,5.749267271944,6.04417569898445,5.38176482604688,6.00162995801814,5.88145662193466
"2316245",7.798170759728,7.74944386672456,8.02828851249739,8.19414621861373,7.65430992063163,7.80323969467482,7.45401918398948,7.27529871029705,7.84701927592531,7.86916967209086,7.81257233611994,8.58754817051121,8.58300275979427,8.84877599111228,6.31888669238699,6.007151361147,6.43797112336575,6.23163087344101,6.37867647585082
"2316379",8.86740505256478,9.09080165983239,8.51990911762204,8.5129962125247,7.10380784032205,7.06670489954222,7.31624583272377,7.28378073444341,7.9612152048513,8.02594819444969,7.9050026908814,8.35246295977521,8.30055413085996,8.51725883896547,8.69055425168702,8.55389201180773,8.37865260394699,8.23346951057764,8.37137093269149
