"","HEK293","HCT","H9","HEK293T","HELA","HEPG2","HUVEC","K562"
"2315554",5.86536245598528,6.32274773865569,6.74325328422566,6.53732641947674,5.80453966838319,5.98563240031094,6.22760070646437,6.22199287564424
"2315633",6.73966906608949,6.5970311459745,6.83014592896667,7.06255179967734,7.12114972130235,6.84093511438103,7.29736210612816,7.32336983462254
"2315674",5.94876333542612,6.29281072486817,6.29528021456278,6.38943138433937,6.07376527069157,6.17386774955581,6.54064090151831,6.29625349823043
"2315739",7.62040357198824,7.99794706506391,7.34213131456794,7.82465861353202,7.71356378355272,7.59156372663329,7.58002057315108,8.2889273089924
"2315894",8.22335631489964,8.70656858744796,8.83135167023392,8.82635442180581,8.01967719282896,8.31119277196472,8.61786475137296,8.47832370034669
"2315918",4.66084835047851,4.37201497842136,5.92788523040836,5.72334597908775,4.70209740381571,5.12160984435683,4.89609465914666,4.75110732077284
"2315951",7.38864240239472,8.12077317333675,6.98240812730181,7.20161883178136,8.58177112316855,8.5503429322348,8.7645069492164,9.32153833986324
"2316218",4.68665902449674,5.57659013428721,6.49095678413493,5.7664413841395,5.026030711373,5.32363577147051,5.89672148546422,5.75495046866656
"2316245",7.77380731322628,8.11121736555556,7.72877480765322,7.36465894714326,7.84292042804537,8.67310897380592,6.163019026767,6.34942615755253
"2316379",8.97910335619858,8.51645266507337,7.08525636993213,7.30001328358359,7.96405536339413,8.39009197653355,8.62222313174738,8.32783101573871
"2316558",8.20438540330781,8.47824323358051,8.86274713837243,8.84704810841894,9.64210490782759,8.94759372126304,9.53323116306619,9.90133741556863
"2316605",5.70996446945803,5.95932394091297,6.47161972374123,6.19259754674473,5.94807775191667,6.13860357872772,6.40740654519262,6.27888030138463
"2316746",6.46217561797427,7.20694979750022,7.36317679531753,6.97064717551048,6.91850227251989,8.30478653006164,8.6867616043514,7.34096285201496
"2316905",4.89133077074744,5.36300185413613,5.96039927344954,5.27637431922196,5.4192668071071,5.45636008938752,5.73874094236634,5.73964119964668
"2316953",5.73021165593089,6.51572007198353,6.31999475771654,6.59090442956001,5.71579904559822,6.06969690883428,6.19252513875893,6.11340987852144
"2317246",5.88374751188592,6.59159421586791,6.52436504893793,6.38354705960183,7.01605289259926,7.07842089185344,6.18802515167962,6.43179449299561
"2317317",7.31232737490903,7.36229930278982,6.73738633664273,6.791873135914,6.08543017337623,6.63359056071951,6.7870261602548,6.71031329091814
"2317434",7.07755759623074,7.2580939978198,6.47901370962608,6.63081658325998,7.97588577430041,8.57450116796085,8.47606811054199,7.30109450956198
"2317472",5.10694775224496,5.59170751724092,5.90242222463268,6.1335702865963,5.4132223088711,5.49498549736919,5.78383910925066,5.63265121254184
"2317512",6.73962881066947,6.90912509935195,6.61866320318999,6.95046818354598,6.73263136431632,6.79030777986479,6.84965299331533,7.36901277920381
"2317686",3.81264888357976,4.11161756047411,4.77531960345462,4.4377636657013,4.03557554200988,4.22811638171983,4.3796695025991,4.41260112198207
"2318086",6.38512792964969,6.56175974541043,6.08092371073887,6.13213966075078,9.06327388867345,7.21546003384968,6.09702045781621,6.98709643038907
"2318157",5.70913683810509,6.1866248134353,6.075927774459,5.96911411185303,6.12887480479005,6.18293824469849,6.41744631382425,6.50361935342762
"2318170",6.36522062937177,7.19818487091846,6.1404627031807,6.34462725774229,6.71131264179327,6.73651104186005,6.35503867637841,6.79684156944043
"2318212",5.09820433869055,5.97461225658061,6.47279875572209,5.7277411179768,6.04214655768991,5.10826284792915,5.19851867993332,5.41610195353705
"2318242",6.2145112135694,6.23792011140913,7.19281412596856,6.8986242056429,6.3434682178067,6.37109940828174,7.06218512703455,6.81036150886378
