PROBEID	SYMBOL	ENTREZID	GENENAME
3677350	CLDN6	9074	claudin 6
2339334	L1TD1	54596	LINE1 type transposase domain containing 1
3584728	PWAR6	100506965	Prader Willi/Angelman region RNA 6
2620937	TDGF1	6997	teratocarcinoma-derived growth factor 1
2620937	TDGF1P3	6998	teratocarcinoma-derived growth factor 1 pseudogene 3
2608309	LRRN1	57633	leucine rich repeat neuronal 1
4035833	CD24	100133941	CD24 molecule
3107548	ESRP1	54845	epithelial splicing regulatory protein 1
2326485	LIN28A	79727	lin-28 homolog A
3970024	MAGEB17	645864	MAGE family member B17
3970024	GRPR	2925	gastrin releasing peptide receptor
3826079	ZNF90	7643	zinc finger protein 90
3826079	ZNF93	81931	zinc finger protein 93
3826079	ZNF626	199777	zinc finger protein 626
3826079	ZNF506	440515	zinc finger protein 506
3826079	ZNF253	56242	zinc finger protein 253
4016308	BEX1	55859	brain expressed X-linked 1
3134511	SNAI2	6591	snail family transcriptional repressor 2
3113180	MAL2	114569	"mal, T cell differentiation protein 2"
3603295	CRABP1	1381	cellular retinoic acid binding protein 1
2688180	DPPA4	55211	developmental pluripotency associated 4
2768654	OCIAD2	132299	OCIA domain containing 2
3827218	RPSA	3921	ribosomal protein SA
3827218	RPSAP58	388524	ribosomal protein SA pseudogene 58
3827218	RPSAP15	220885	ribosomal protein SA pseudogene 15
3827218	RPSAP19	730029	ribosomal protein SA pseudogene 19
3827218	RPSAP9	653162	ribosomal protein SA pseudogene 9
3141755	HEY1	23462	hes related family bHLH transcription factor with YRPW motif 1
2720584	SLIT2	9353	slit guidance ligand 2
2720584	MIR218-1	407000	microRNA 218-1
3692999	MT1G	4495	metallothionein 1G
3021377	PTPRZ1	5803	protein tyrosine phosphatase receptor type Z1
3105600	CA2	760	carbonic anhydrase 2
2417390	WLS	79971	Wnt ligand secretion mediator
3220673	PTGR1	22949	prostaglandin reductase 1
2790368	SFRP2	6423	secreted frizzled related protein 2
2342391	TYW3	127253	tRNA-yW synthesizing protein 3 homolog
3451670	PUS7L	83448	pseudouridine synthase 7 like
3970476	SCML1	6322	Scm polycomb group protein like 1
2755567	ZFP42	132625	ZFP42 zinc finger protein
3584443	SNRPN	6638	small nuclear ribonucleoprotein polypeptide N
3584443	SNURF	8926	SNRPN upstream open reading frame
3584443	SNORD109B	338429	"small nucleolar RNA, C/D box 109B"
3584443	SNORD116-19	727708	"small nucleolar RNA, C/D box 116-19"
3584443	SNORD115-1	338433	"small nucleolar RNA, C/D box 115-1"
3584443	SNORD108	338427	"small nucleolar RNA, C/D box 108"
3584443	SNORD107	91380	"small nucleolar RNA, C/D box 107"
3584443	SNORD64	347686	"small nucleolar RNA, C/D box 64"
3584443	SNORD109A	338428	"small nucleolar RNA, C/D box 109A"
